City,Accommodation,Apartment Name,Furnishing,Tenant Preferred,Availability,Carpet Area,Floor,Facing,overlooking,Bathroom,Balcony,Rent,Description
chennai,1 BHK Builder Floor for Rent in Sholinganallur,None,Semi-Furnished,Bachelors/Family,Immediately,None,1 out of 2,None,None,1,None,"₹10,000","Looking out for a flat for rent? Rent flats of 1 BHK in the well-connected locality of Sholinganallur. The Rent amount is set at an attractive price of Rs 10,000/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. This flat on rent comes with 1 well planned bedrooms. To serve the occupier optimally, the flat comes semi-furnished. Studded with almost all the features, the flat is immediately available for rent. "
chennai,3 BHK Builder Floor for Rent in SIPCOT Industrial Park,None,Semi-Furnished,Bachelors/Family,Immediately,None,Ground out of 3,None,None,2,None,"₹12,000","Builder floor apartment is available for rent 25th of this month. Located 2 km from sip cot and 0.5 km from kelambakaam - Vandalur main road. Please contact for more details. Rent flats of 3 BHK in the prime locality of SIPCOT Industrial Park. The rent amount of the flat is very competitive and set at an amount of Rs 12,000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors/Family. Some premium add-on facilities bundled with the flat are banquet hall,ro water system. Strategically located near flat available for rental from 25th of this month. located 2 km from sip cot and 0.5 km from kelambakaam - vandalur main road., the flat is smartly located to offer seamless connectivity. This flat on rent comes with 3 well planned bedrooms. Designed to meet your modern needs, the flat comes semi-furnished. The flat is immediately available for rent. "
hyderabad,2 BHK Apartment for Rent in Nizampet,Bommarillu Homes,Semi-Furnished,Bachelors,From Jun '22,None,1 out of 5,West,None,2,2,"₹14,000","Semi furnished rooms with good interiors. Large 2 bed rooms , 2 balconys, Modular cupboards kitchen,Flat in ground floor, Car parking, under surveillance cctv all floors surveillance cameras,2 bed rooms cupboards , Master bedroom have space for beeruva in between cupboards,Water meter available for individual apartment semi furnished with wardrobes and modular kitchen , fans , lights and all the basic electrical fittings"
hyderabad,"3 BHK Apartment for Rent in Financial District, Nanakram Guda",None,Furnished,Family,From Jun '22,2200 sqft,6 out of 10,East,"Garden/Park, Pool, Main Road",5,2,"₹75,000","East facing, fully furnished flat with modular kitchen, power back up for Immediate sale. If taking a flat for rent is on you mind, you must go for 3 BHK flat in Financial District, Nanakram Guda located at the heart of the city. The Rent amount is set at an attractive price of Rs 75,000/-. Plus you need to pay a booking amount of only Rs 150000/-. We are particular about whom we let out the flat to and the type of tenants preferred are Family. Strategically located near the property close to near the metro station and schools temples.., the flat is smartly located to offer seamless connectivity. It provides an amazing view of garden/park, pool, main road. To park your car, the flat comes with a its own 1 covered car parking. Also, it features 2 balconies that are spacious. The flat on rent has 3 large and spacious bedrooms. With 1 store room attached, the extra articles can be easily stored. Also, it has 1 study room that can be used as a guest room or a home office. A beautifully designed abode, the flat is furnished. Owing to continuous demand, the flat is select date for rent. "
hyderabad,3 BHK Apartment for Rent in Garuda residency peacock,None,Semi-Furnished,Bachelors/Family,Immediately,1600 sqft,2 out of 5,None,None,3,3,"₹23,000","The rent amount of the flat is very competitive and set at an amount of Rs 23,000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors/Family. In addition to this, the flat is studded with capacious 3 balconies. The flat listed for rent boasts of 3 sizable and aesthetically designed bedrooms. Designed to meet your modern needs, the flat comes semi-furnished. Studded with almost all the features, the flat is immediately available for rent. "
hyderabad,3 BHK Apartment for Rent in Kompally,Delight Fortune,Semi-Furnished,Bachelors/Family,Immediately,None,1 out of 5,None,None,3,2,"₹24,000","Multistorey apartment is available for rent. It is a good location property. Please contact for more details. Rent flats of 3 BHK in the prime locality of Kompally. Located within the premium project of Delight Fortune, this well-ventilated flat is available on rent. The rental amount of the flat is an affordable Rs 24,000/-. Although, the occupier is required to deposit a booking amount of Rs 50000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors/Family. Also, it features 2 balconies that are spacious. This flat on rent comes with 3 well planned bedrooms. The flat is well-designed and comes semi-furnished, with a unique appeal. Studded with almost all the features, the flat is immediately available for rent. "
hyderabad,2 BHK Builder Floor for Rent in ECIL,None,Furnished,Bachelors/Family,Immediately,None,3 out of 6,None,None,2,None,"₹15,000","Rent flats of 2 BHK in the prime locality of ECIL. The Rent amount is set at an attractive price of Rs 15,000/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. The flat listed for rent boasts of 2 sizable and aesthetically designed bedrooms. To serve the occupier optimally, the flat comes furnished. Studded with almost all the features, the flat is immediately available for rent. "
hyderabad,"2 BHK Apartment for Rent in JV Hills, Kondapur",None,Unfurnished,Bachelors,Immediately,1058 sqft,4 out of 5,None,Garden/Park,2,2,"₹20,000","This 2bhk semi furnished apartment is located right near the tech industry hub of hyderabad. The distance between this apartment to hitech city is only 4kms and similarly, the area in which the apartment is located connects to 2 different metro stations by only a distance of 3.4 km which are hitech city"
hyderabad,"3 BHK Apartment for Rent in Muppas Panchavati Colony, Manikonda, Outer Ring Road",None,Unfurnished,Family,Immediately,1180 sqft,5 out of 5,East,Main Road,2,3,"₹17,000","This 3 BHK Flat is at 5 floor and it has 2 bathroom You can avail this Flat on a monthly charges of 16000. Do you want to rent flat for accomodation? Consider 3 BHK flat in the popular locality of Muppas Panchavati Colony, Manikonda, Outer Ring Road. The rental rates are quite justifiable and set at an amount of Rs 17,000/-. However, you are required to deposit a booking amount of Rs 32000/-. We are selective about renting out the flat and the type of tenants preferred are Family. The flat is well-connected and positioned near near by panchavati park panchvati colony.. It is well-positioned and one can get a view of main road. The flat also has 3 balconies for a multiple usages. The flat offered on rent is equipped with 3 well-designed bedrooms. Designed to meet your modern needs, the flat comes unfurnished. It is immediately available for rent. "
hyderabad,"3 BHK Apartment for Rent in Gachibowli CUC, Outer Ring Road",Northstar District 1,Semi-Furnished,Bachelors/Family,Immediately,1560 sqft,Ground out of 13,East,Garden/Park,3,1,"₹50,000","Financial District, Hyderabad, Hyderabad3 bhk, master bedroom with wooden flooring, modular kitchen, 2 wide balconies, brand new semi furnished flat with excellent interiors very good ventilation, 1560sqft, east facing, ground floor, 2 car parkingAmenities1. Yoga and meditation space2. Basket ball3. Squash court4. Indoor play areaBilliards, tt5. Library business lounge6. Gym7. Swimming pool"
hyderabad,3 BHK Apartment for Rent in Nizampet,None,Semi-Furnished,Bachelors/Family,Immediately,1000 sqft,4,West,Main Road,2,1,"₹18,000","West facing 3BHK flat is available for rent with a good view, ample sunlight, 24 hours water, geyser in bath rooms, one air conditioner, convenient car parking, complete wood work, Manjeera water everyday. It is ready to occupy, split AC provision. Please contact for more details."
hyderabad,2 BHK Apartment for Rent in Balkampet,None,Unfurnished,Bachelors,Immediately,840 sqft,1 out of 3,South - East,"Garden/Park, Main Road",2,1,"₹13,500","Newly construction building for newly married couples Do you want to rent flat for accomodation? Consider 2 BHK flat in the popular locality of Balkampet. The rental amount of the flat is an affordable Rs 13,500/-. However, you will have to deposit a booking amount of Rs 24000/- if you wish to rent this flat. We have some choices in term of preferred tenants to let out the flat and the tenants preferred are Bachelors. The flat boasts of a superb location near goutham model high school. It provides an amazing view of garden/park, main road. It also has 1 balconies. The flat available on rent features 2 spacious bedrooms. The flat comes unfurnished and is sure to appeal to you. Owing to continuous demand, the flat is immediately available for rent. "
hyderabad,1 BHK Builder Floor for Rent in Jagadgiri Gutta,None,Unfurnished,Bachelors/Family,Immediately,None,3 out of 4,None,None,1,None,"₹4,500","If taking a flat for rent is on you mind, you must go for 1 BHK flat in Jagadgiri Gutta located at the heart of the city. The rental amount of the flat is an affordable Rs 4,500/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. This flat on rent comes with 1 well planned bedrooms. A beautifully designed abode, the flat is unfurnished. It is immediately available for rent. "
hyderabad,2 BHK Apartment for Rent in Rayadurga Kalaasa,None,Semi-Furnished,Bachelors/Family,Immediately,None,2 out of 5,None,None,2,None,"₹15,000","The Rent amount is set at an attractive price of Rs 15,000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors/Family. The flat on rent has 2 large and spacious bedrooms. The flat comes semi-furnished and is sure to appeal to you. Studded with almost all the features, the flat is immediately available for rent. "
hyderabad,3 BHK Apartment for Rent in Moti Nagar,None,Unfurnished,Bachelors/Family,Immediately,None,3 out of 9,None,None,3,None,"₹13,500","Well designed and constructed Multistorey Apartment in the prime locality of Moti Nagar. The Multistorey Apartment having total 3rd floor with all modern facilities Lift, Security, Reserved Parking. Currently 3 BHK flat on 3rd floor is available for rent at very competitive price. Gymnasium, Swimming Pool, Club House, Park, Private Terrace/ Garden, Vaastu Compliant, Air Conditioned, Rain Water Harvesting, Water Storage, Intercom Facility"
hyderabad,2 BHK Apartment for Rent in Bachupally,None,Semi-Furnished,Bachelors/Family,From Jun '22,None,2 out of 5,None,None,2,None,"₹12,000","Multistorey apartment is available for rent. It is a good location property. Please contact for more detail. Rent flats of 2 BHK in the prime locality of Bachupally. The rent amount of the flat is very competitive and set at an amount of Rs 12,000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors/Family. The flat on rent has 2 large and spacious bedrooms. To serve the occupier optimally, the flat comes semi-furnished. Studded with almost all the features, the flat is select date for rent. "
hyderabad,3 BHK Apartment for Rent in Kondapur,Fortune Nest,Furnished,Bachelors,Immediately,1850 sqft,3 out of 4,South,Main Road,3,2,"₹45,000","Do you want to rent flat for accomodation? Consider 3 BHK flat in the popular locality of Kondapur. Located within the premium project of Fortune Nest, this well-ventilated flat is available on rent. The rent amount of the flat is very competitive and set at an amount of Rs 45,000/-. You just have to deposit an initial booking amount of Rs 90000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors. Some added-on facilities available with the flat are air conditioned,ro water system. It is well placed and enables a view of main road. Also, it features 2 balconies that are spacious. The flat on rent has 3 large and spacious bedrooms. With the flat, you get hold of 1 store room which is spacious and can be used to store unused articles. The flat comes furnished and is sure to appeal to you. The flat is immediately available for rent. "
hyderabad,"3 BHK Apartment for Rent in Kokapet, Outer Ring Road",The Lawnz,Semi-Furnished,Bachelors/Family,Immediately,None,Ground out of 4,None,None,3,1,"₹25,000","Multistorey apartment is available for rent. It is a good location property. Please contact for more details. If you are planning to rent a flat, you can consider this 3 BHK flat situated in the prime location of Kokapet, Outer Ring Road. The spacious flat offered on rent is part of the popular project The Lawnz. The Rent amount is set at an attractive price of Rs 25,000/-. You just have to deposit an initial booking amount of Rs 50000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors/Family. The flat also has 1 balconies for a multiple usages. The flat listed for rent boasts of 3 sizable and aesthetically designed bedrooms. The flat comes semi-furnished and is sure to appeal to you. Owing to continuous demand, the flat is immediately available for rent. "
hyderabad,"3 BHK Apartment for Rent in Sri Laxmi Nagar Colony-Manikonda, Outer Ring Road",None,Furnished,Family,Immediately,2800 sqft,3 out of 5,North,Main Road,3,2,"₹45,000","North facing, modern amenities in the house like false ceiling lights, modular kitchen, Park etc Looking out for a flat for rent? Rent flats of 3 BHK in the well-connected locality of Sri Laxmi Nagar Colony-Manikonda, Outer Ring Road. Affordable to rent, the flat is available for rent at a competitive amount of Rs 45,000/-. We are particular about whom we let out the flat to and the type of tenants preferred are Family. The flat boasts of a superb location near the property is close to lanco hills, harivillu, mana studio etc.. It is well-positioned and one can get a view of main road. The flat comes with 1 covered car parking for dedicated use. In addition to this, the flat is studded with capacious 2 balconies. The flat listed for rent boasts of 3 sizable and aesthetically designed bedrooms. Also, it has 1 study room that can be used as a guest room or a home office. To serve the occupier optimally, the flat comes furnished. Studded with almost all the features, the flat is immediately available for rent. "
hyderabad,"2 BHK Apartment for Rent in Beeramguda, Ramachandra Puram, NH 9",Parshavedi Meadows,Unfurnished,Bachelors/Family,Immediately,900 sqft,2 out of 4,None,None,2,2,"₹7,500","Multistorey apartment is available for sale. It is a good location property. Please contact for more details. If you are planning to rent a flat, you can consider this 2 BHK flat situated in the prime location of Beeramguda, Ramachandra Puram, NH 9. The state-of-the art flat available on rent is part of the Parshavedi Meadows. The rental amount of the flat is an affordable Rs 7,500/-. Although, the occupier is required to deposit a booking amount of Rs 20000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors/Family. Also, there are 2 balconies in the flat. The flat listed for rent boasts of 2 sizable and aesthetically designed bedrooms. To serve the occupier optimally, the flat comes unfurnished. It is immediately available for rent. "
hyderabad,"2 BHK Apartment for Rent in Ramgopalpet, NH 7",None,Semi-Furnished,Bachelors/Family,Immediately,None,4 out of 4,None,None,2,None,"₹15,000","If taking a flat for rent is on you mind, you must go for 2 BHK flat in Ramgopalpet, NH 7 located at the heart of the city. Affordable to rent, the flat is available for rent at a competitive amount of Rs 15,000/-. We are particular about whom we let out the flat to and the type of tenants preferred are Bachelors/Family. The flat on rent has 2 large and spacious bedrooms. A beautifully designed abode, the flat is semi-furnished. It is immediately available for rent. "
hyderabad,"3 BHK Apartment for Rent in Mallareddy Nagar, Secunderabad",None,Furnished,Bachelors,Immediately,1260 sqft,2 out of 5,East,Main Road,3,2,"₹20,000","Looking out for a flat for rent? Rent flats of 3 BHK in the well-connected locality of Mallareddy Nagar, Secunderabad. The rental amount of the flat is an affordable Rs 20,000/-. However, you will have to deposit a booking amount of Rs 40000/- if you wish to rent this flat. We are selective about renting out the flat and the type of tenants preferred are Bachelors. It is well-positioned and one can get a view of main road. Also, it features 2 balconies that are spacious. The flat available on rent features 3 spacious bedrooms. A beautifully designed abode, the flat is furnished. Owing to continuous demand, the flat is immediately available for rent. "
hyderabad,3 BHK Apartment for Rent in Kothaguda,Patels Wisdom,Semi-Furnished,Family,Immediately,1750 sqft,2 out of 5,East,Main Road,3,2,"₹24,000","A spacious 3 BHK flat is a private commuity close to main road , nearby to schools, grocery store in prime are close to hitech city main road. If you are planning to rent a flat, you can consider this 3 BHK flat situated in the prime location of Kothaguda. Located within the premium project of Patels Wisdom, this well-ventilated flat is available on rent. Affordable to rent, the flat is available for rent at a competitive amount of Rs 24,000/-. You just have to deposit an initial booking amount of Rs 48000/-. We have some choices in term of preferred tenants to let out the flat and the tenants preferred are Family. Some added-on facilities available with the flat are air conditioned,laundry service,ro water system,service/goods lift,visitor parking. Strategically located near google office, the flat is smartly located to offer seamless connectivity. It is well placed and enables a view of main road. To park your car, the flat comes with a its own 1 covered car parking. Also, it features 2 balconies that are spacious. This flat on rent comes with 3 well planned bedrooms. With 1 store room attached, the extra articles can be easily stored. Designed to meet your modern needs, the flat comes semi-furnished. Owing to continuous demand, the flat is immediately available for rent. "
hyderabad,3 BHK Apartment for Rent in Hyderabad,None,Semi-Furnished,Bachelors/Family,Immediately,None,4 out of 5,West,None,2,2,"₹16,000","The 3 bedroom Unit is located on fourth floor and it has spacious 2 bathroom You can get this beautiful flat on a rental of 16000 monthly. Affordable to rent, the flat is available for rent at a competitive amount of Rs 16,000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors/Family. The flat is strategically located near 4th lane on left hand from maheshwari gas agency o u colony :::::::: from maheshwari gas agency. The flat has 5 covered, 4 open car parking for your convenience. It also has 2 balconies. The flat available on rent features 3 spacious bedrooms. The flat is well-designed and comes semi-furnished, with a unique appeal. It is immediately available for rent. "
hyderabad,"3 BHK Apartment for Rent in Financial District, Nanakram Guda",My Home Krishe,Semi-Furnished,Bachelors/Family,Immediately,2580 sqft,9 out of 28,West,None,3,3,"₹72,000","InKrishetheinteriorsarethoughtfullydesignedtoprovideadequatespacelightandventilationtotheresidentialunitsGachibowliiswell-connectedtootherpartsofthecityviaanextensiveroad Rent flats of 3 BHK in the prime locality of Financial District, Nanakram Guda. Located within the premium project of My Home Krishe, this well-ventilated flat is available on rent. The rental rates are quite justifiable and set at an amount of Rs 72,000/-. However, you are required to deposit a booking amount of Rs 300000/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. Some attractive additional facilities available with the flat are jogging and strolling track. Strategically located near my home constructions presents a housing project located in gachibowli, hyderabad. the project comes equipped with all the basic facilities necessary to meet daily requirements of the modern urban lifestyle of its residents, including tennis court, landscaped gardens, others, internal roads, amphitheater., the flat is smartly located to offer seamless connectivity. The flat is bundled with spacious 2 covered car parking. It also has 3 balconies. The flat listed for rent boasts of 3 sizable and aesthetically designed bedrooms. Designed to meet your modern needs, the flat comes semi-furnished. It is immediately available for rent. "
hyderabad,"2 BHK Apartment for Rent in Himayath Nagar, NH 7",None,Semi-Furnished,Bachelors/Family,Immediately,1250 sqft,4 out of 5,East,Main Road,2,2,"₹22,000","2bhk , himayath nagar near liberty, for rent. Rent flats of 2 BHK in the prime locality of Himayath Nagar, NH 7. The Rent amount is set at an attractive price of Rs 22,000/-. Although, the occupier is required to deposit a booking amount of Rs 66000/-. We are particular about whom we let out the flat to and the type of tenants preferred are Bachelors/Family. The flat is strategically located near near liberty, himayath nagar.. It provides an amazing view of main road. The flat is bundled with spacious 1 covered car parking. Also, it features 2 balconies that are spacious. This flat on rent comes with 2 well planned bedrooms. The flat comes semi-furnished and is sure to appeal to you. Owing to continuous demand, the flat is immediately available for rent. "
hyderabad,"2 BHK Apartment for Rent in LB Nagar, NH 9",Sahara States,Unfurnished,Bachelors/Family,Immediately,900 sqft,2 out of 2,None,None,2,1,"₹10,000","Rent flats of 2 BHK in the prime locality of LB Nagar, NH 9. The spacious flat offered on rent is part of the popular project Sahara States. The rent amount of the flat is very competitive and set at an amount of Rs 10,000/-. Although, the occupier is required to deposit a booking amount of Rs 20000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors/Family. The flat comes with some add-on facilities such as jogging and strolling track. In addition to this, the flat is studded with capacious 1 balconies. The flat offered on rent is equipped with 2 well-designed bedrooms. With the flat, you get hold of 1 store room which is spacious and can be used to store unused articles. The flat is well-designed and comes unfurnished, with a unique appeal. It is immediately available for rent. "
hyderabad,"3 BHK Apartment for Rent in Himayath Nagar, NH 7",None,Semi-Furnished,Bachelors/Family,From Jun '22,None,2 out of 5,None,None,2,None,"₹35,000","If taking a flat for rent is on you mind, you must go for 3 BHK flat in Himayath Nagar, NH 7 located at the heart of the city. Affordable to rent, the flat is available for rent at a competitive amount of Rs 35,000/-. We are particular about whom we let out the flat to and the type of tenants preferred are Bachelors/Family. The flat on rent has 3 large and spacious bedrooms. To serve the occupier optimally, the flat comes semi-furnished. The flat is select date for rent. "
hyderabad,3 BHK Apartment for Rent in ROHIT APARTMENT VIDYANAGAR,None,Semi-Furnished,Bachelors/Family,Immediately,1500 sqft,5 out of 5,None,None,2,3,"₹19,000","The rental rates are quite justifiable and set at an amount of Rs 19,000/-. Plus you need to pay a booking amount of only Rs 38000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors/Family. Also, there are 3 balconies in the flat. The flat available on rent features 3 spacious bedrooms. Designed to meet your modern needs, the flat comes semi-furnished. Studded with almost all the features, the flat is immediately available for rent. "
hyderabad,"2 BHK Apartment for Rent in Beeramguda, Ramachandra Puram, NH 9",None,Semi-Furnished,Bachelors/Family,Immediately,950 sqft,Ground out of 5,North,Main Road,2,2,"₹9,000","Rent flats of 2 BHK in the prime locality of Beeramguda, Ramachandra Puram, NH 9. The rental rates are quite justifiable and set at an amount of Rs 9,000/-. However, you are required to deposit a booking amount of Rs 12000/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. It is well-positioned and one can get a view of main road. In addition to this, the flat is studded with capacious 2 balconies. The flat listed for rent boasts of 2 sizable and aesthetically designed bedrooms. Designed to meet your modern needs, the flat comes semi-furnished. Studded with almost all the features, the flat is immediately available for rent. "
hyderabad,3 BHK Apartment for Rent in Nizampet,None,Furnished,Bachelors/Family,From Jun '22,None,2 out of 4,East,None,2,2,"₹16,000","Multistorey apartment is available for rent, 3 BHK apartment with complete woodwork, pop ceiling and DG backup. Please contact for more details. Rent flats of 3 BHK in the prime locality of Nizampet. The rent amount of the flat is very competitive and set at an amount of Rs 16,000/-. We are particular about whom we let out the flat to and the type of tenants preferred are Bachelors/Family. The flat boasts of a superb location near sbi bank and nizampet town bus stand.. To park your car, the flat comes with a its own 1 covered car parking. In addition to this, the flat is studded with capacious 2 balconies. The flat listed for rent boasts of 3 sizable and aesthetically designed bedrooms. The flat comes furnished and is sure to appeal to you. It is jun '22 for rent. "
hyderabad,"2 BHK Apartment for Rent in Rajendra Nagar, Outer Ring Road",Provident Kenworth,Furnished,Bachelors/Family,Immediately,930 sqft,7 out of 10,None,None,2,1,"₹22,000","Looking out for a flat for rent? Rent flats of 2 BHK in the well-connected locality of Rajendra Nagar, Outer Ring Road. This charming flat available on rent is part of the Provident Kenworth. Affordable to rent, the flat is available for rent at a competitive amount of Rs 22,000/-. However, you will have to deposit a booking amount of Rs 44000/- if you wish to rent this flat. We have some choices in term of preferred tenants to let out the flat and the tenants preferred are Bachelors/Family. Also, there are 1 balconies in the flat. The flat offered on rent is equipped with 2 well-designed bedrooms. The flat comes furnished and is sure to appeal to you. It is immediately available for rent. "
gurgaon,4 BHK Apartment for Rent in Sector 57,None,Furnished,Bachelors,Immediately,3000 sqft,5 out of 12,East,"Pool, Garden/Park",4,4,"₹66,000","4bhk flat aloha society sector 57 location near by golf course extension road very specious house 4bhk and 4 bath Do you want to rent flat for accomodation? Consider 4 BHK flat in the popular locality of Sector 57. The Rent amount is set at an attractive price of Rs 66,000/-. You just have to deposit an initial booking amount of Rs 125000/-. We have some choices in term of preferred tenants to let out the flat and the tenants preferred are Bachelors. The flat comes with some add-on facilities such as bar/lounge, air conditioned, banquet hall, jogging and strolling track, outdoor tennis courts. The flat is strategically located near sector 57. It is well-positioned and one can get a view of pool, garden/park. The flat has 501 covered, 501 open car parking for your convenience. Also, there are 4 balconies in the flat. The flat offered on rent is equipped with 4 well-designed bedrooms. Moreover, 1 study room can be utilised as a guest room or office area. To serve the occupier optimally, the flat comes furnished. It is immediately available for rent. "
gurgaon,"3 BHK Builder Floor for Rent in Cyber City, Sector 25, Delhi Gurgaon Expressway",None,Unfurnished,Bachelors/Family,Immediately,290 sqyrd,1 out of 4,None,Garden/Park,4,3,"₹70,000","interesting property with all the amenities Rent flats of 3 BHK in the prime locality of Cyber City, Sector 25, Delhi Gurgaon Expressway. The rental amount of the flat is an affordable Rs 70,000/-. However, you will have to deposit a booking amount of Rs 140000/- if you wish to rent this flat. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. The flat is well-connected and positioned near close vicinity to metro station and market. Also, it overlooks garden/park to offer a soothing view. The flat comes with 1 covered, 2 open car parking for dedicated use. Also, it features 3 balconies that are spacious. The flat offered on rent is equipped with 3 well-designed bedrooms. With 1 store room attached, the extra articles can be easily stored. Also, it has 1 study room that can be used as a guest room or a home office. The flat comes unfurnished and is sure to appeal to you. Studded with almost all the features, the flat is immediately available for rent. "
gurgaon,"3 BHK Apartment for Rent in Mahindra Luminare, Behrampur, Sector 59 ",Mahindra Luminare,Semi-Furnished,Bachelors/Family,Immediately,2650 sqft,11 out of 30,None,None,4,3,₹1 Lac,"Do you want to rent flat for accomodation? Consider 3 BHK flat in the popular locality of Behrampur, Sector 59 . The state-of-the art flat available on rent is part of the Mahindra Luminare. The rental rates are quite justifiable and set at an amount of Rs 1 Lac/-. Although, the occupier is required to deposit a booking amount of Rs 200000/-. We are selective about renting out the flat and the type of tenants preferred are Bachelors/Family. Also, it features 3 balconies that are spacious. The flat on rent has 3 large and spacious bedrooms. Designed to meet your modern needs, the flat comes semi-furnished. The flat is immediately available for rent. "
gurgaon,3 BHK Builder Floor for Rent in Sector 23,None,Semi-Furnished,Bachelors,Immediately,1300 sqft,1 out of 3,East,None,3,2,"₹26,000","beautiful floor 3 Bhk house on rent If you are planning to rent a flat, you can consider this 3 BHK flat situated in the prime location of Sector 23. The rental rates are quite justifiable and set at an amount of Rs 26,000/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors. Some premium add-on facilities bundled with the flat are service/goods lift,visitor parking. The flat boasts of a superb location near near sec 23 market. It also has 2 balconies. The flat available on rent features 3 spacious bedrooms. Also, the dedicated 1 study room can be utilised as a home office or guest/servant room. The flat is well-designed and comes semi-furnished, with a unique appeal. The flat is immediately available for rent. "
gurgaon,"3 BHK Builder Floor for Rent in Ansals Palam Vihar, Palam Vihar",Ansals Palam Vihar,Unfurnished,Bachelors/Family,Immediately,1800 sqft,1 out of 3,North,Main Road,3,2,"₹30,000","Available For Rent 3bhk in Palam Vihar If you are planning to rent a flat, you can consider this 3 BHK flat situated in the prime location of Palam Vihar. The aesthetically designed flat available on rent is part of the leading project of Ansals Palam Vihar. Affordable to rent, the flat is available for rent at a competitive amount of Rs 30,000/-. However, you are required to deposit a booking amount of Rs 60000/-. We keep a say in the type of tenants preferred to rent our flat and the tenants preferred are Bachelors/Family. Strategically located near palam vihar, gurgaon, the flat is smartly located to offer seamless connectivity. It is well placed and enables a view of main road. The flat has 1 covered, 2 open car parking for your convenience. In addition to this, the flat is studded with capacious 2 balconies. The flat available on rent features 3 spacious bedrooms. The flat is well-designed and comes unfurnished, with a unique appeal. It is immediately available for rent. "
gurgaon,"2 BHK Apartment for Rent in Supertech Hues, Sector 68",Supertech Hues,Semi-Furnished,Bachelors/Family,Immediately,1000 sqft,3 out of 8,North - East,"Garden/Park, Pool, Main Road",2,3,"₹19,000","Semi furnished flat,modular kitchen,spacious property. Rent flats of 2 BHK in the prime locality of Sector 68. The state-of-the art flat available on rent is part of the Supertech Hues. Affordable to rent, the flat is available for rent at a competitive amount of Rs 19,000/-. You just have to deposit an initial booking amount of Rs 38000/-. We have some preferences about the tenants to rent the flat and the preferred tenants are Bachelors/Family. If you rent the flat, you will have access to facilities like jogging and strolling track. Strategically located near nearly project is m3m merina. entry from sohna road and entry from spr, the flat is smartly located to offer seamless connectivity. Also, it overlooks garden/park, pool, main road to offer a soothing view. The flat is bundled with spacious 1 covered car parking. Also, there are 3 balconies in the flat. The flat on rent has 2 large and spacious bedrooms. The flat is well-designed and comes semi-furnished, with a unique appeal. Studded with almost all the features, the flat is immediately available for rent. "
gurgaon,"3 BHK Apartment for Rent in Heritage Max, Sector 102",Heritage Max,Semi-Furnished,Bachelors/Family,Immediately,1500 sqft,9 out of 25,North - East,"Garden/Park, Pool, Main Road",4,4,"₹28,000","For rent 3bhk in heritage, max is ready to move in sports life style Oriented luxury residential project on dwarka expressway, sector 102, gurugram being delivered by conscient infrastructure.::::The major focus of the project is on sports amenities and promotes the sportsman in you, heritage max ensures you a 360Degree premium lifestyle. This residential condominium boasts ultramodern architecture based on luxury."
gurgaon,4 BHK Builder Floor for Rent in Sushant Lok 1 Block C,None,Semi-Furnished,Bachelors/Family,Immediately,418 sqyrd,Ground out of 4,North - East,Garden/Park,5,3,₹1 Lac,"Beautifully constructed ultra luxury builder floor is available for rent in the posh locality of sushant lok 1, gurgaon. Layout and construction done as per the vastu compliance. Plot size 418 sq yds north facing with stilt area and lift access for the entire building. This floor is located on the fourth floor with exclusive terrace rights. Aesthetically constructed having 3 bedrooms with attached washrooms and 1 study room. 1 dedicated servant quarter in the stilt area and reserve parking for 2 cars for every floor.::::For more details kindly call....."
